Agency Type,Destination,Net Sales,Commision (in value),Age,Claim
Travel Agency,INDONESIA,20,0,46,No
Travel Agency,MALAYSIA,20,0,46,No
Travel Agency,HONG KONG,30,0,36,No
Travel Agency,MALAYSIA,20,0,46,No
Travel Agency,JAPAN,44,0,25,No
Travel Agency,"KOREA, REPUBLIC OF",57,0,36,No
Travel Agency,UNITED ARAB EMIRATES,37,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",46,0,36,No
Travel Agency,INDIA,10,0,36,No
Travel Agency,MYANMAR,16,0,36,No
Travel Agency,JAPAN,28,0,65,No
Travel Agency,PHILIPPINES,21,0,36,No
Travel Agency,HONG KONG,37,0,36,No
Travel Agency,PHILIPPINES,18,0,36,No
Travel Agency,SINGAPORE,14,0,31,No
Travel Agency,THAILAND,19,0,36,No
Travel Agency,PHILIPPINES,37,0,36,No
Travel Agency,THAILAND,10,0,64,No
Travel Agency,NAMIBIA,80,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",16,0,20,No
Travel Agency,UNITED STATES,39,0,32,No
Travel Agency,VIET NAM,14,0,36,No
Travel Agency,INDIA,25,0,43,No
Travel Agency,MALAYSIA,10,0,35,No
Travel Agency,THAILAND,10,0,36,No
Travel Agency,HONG KONG,10,0,36,No
Travel Agency,SINGAPORE,68,0,36,No
Travel Agency,UNITED STATES,17,0,35,No
Travel Agency,"KOREA, REPUBLIC OF",0,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",23,0,36,No
Travel Agency,NEW ZEALAND,80,0,36,No
Travel Agency,COSTA RICA,80,0,24,No
Travel Agency,THAILAND,10,0,30,No
Travel Agency,MALAYSIA,10,0,61,No
Travel Agency,MALAYSIA,15,0,36,No
Travel Agency,VIET NAM,0,0,36,No
Travel Agency,THAILAND,30,0,43,No
Travel Agency,"KOREA, REPUBLIC OF",16,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",58,0,29,No
Travel Agency,JAPAN,20,0,40,No
Travel Agency,MALAYSIA,10,0,29,No
Travel Agency,INDONESIA,17,0,43,No
Travel Agency,INDONESIA,37,0,21,No
Travel Agency,CHINA,27,0,36,No
Travel Agency,MYANMAR,51,0,36,No
Travel Agency,PHILIPPINES,13,0,21,No
Travel Agency,AUSTRALIA,24,0,36,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,CHINA,26,0,36,No
Travel Agency,SINGAPORE,86,0,36,No
Travel Agency,NEW ZEALAND,28,0,36,No
Travel Agency,MALAYSIA,20,0,62,No
Travel Agency,"KOREA, REPUBLIC OF",90,0,36,No
Airlines,INDIA,50,20,118,No
Airlines,BRUNEI DARUSSALAM,15,6,44,No
Airlines,SINGAPORE,21.35,5.98,48,No
Airlines,SINGAPORE,6.5,1.82,48,No
Airlines,AUSTRALIA,26,9.1,31,No
Airlines,INDONESIA,30,10.5,48,No
Airlines,INDONESIA,22,7.7,29,No
Airlines,THAILAND,18,6.3,66,No
Airlines,AUSTRALIA,35,12.25,57,No
Airlines,CHINA,44,15.4,37,No
Airlines,THAILAND,22,7.7,34,No
Airlines,CHINA,22,7.7,41,No
Airlines,PHILIPPINES,75.96,26.59,48,No
Airlines,SINGAPORE,12.5,4.38,48,No
Airlines,MALAYSIA,4.99,1.75,48,No
Airlines,SINGAPORE,47,11.75,30,No
Airlines,SINGAPORE,27,6.75,30,No
Airlines,SINGAPORE,69.55,17.39,26,No
Airlines,SINGAPORE,30.55,7.64,35,No
Airlines,SINGAPORE,19.5,4.88,34,No
Airlines,SINGAPORE,31.85,7.96,45,No
Airlines,SINGAPORE,77.35,19.34,52,No
Travel Agency,MALAYSIA,29.7,17.82,31,No
Travel Agency,AUSTRALIA,39.6,23.76,52,No
Travel Agency,MALAYSIA,0,29.7,53,No
Travel Agency,UNITED STATES,148.5,89.1,40,No
Travel Agency,THAILAND,29.7,17.82,31,No
Travel Agency,UNITED STATES,9.9,5.94,31,No
Travel Agency,AUSTRALIA,59.4,35.64,26,No
Travel Agency,MALAYSIA,39.6,23.76,60,No
Travel Agency,MALAYSIA,59.4,35.64,27,No
Travel Agency,THAILAND,49.5,29.7,50,No
Travel Agency,MALAYSIA,49.5,29.7,31,No
Travel Agency,MALAYSIA,39.6,23.76,30,No
Travel Agency,MALAYSIA,19.8,11.88,29,No
Travel Agency,AUSTRALIA,89.1,53.46,31,No
Travel Agency,AUSTRALIA,19.8,11.88,34,No
Travel Agency,MALAYSIA,39.6,23.76,35,No
Travel Agency,AUSTRALIA,148.5,89.1,34,No
Travel Agency,AUSTRALIA,0,77.22,23,No
Travel Agency,SINGAPORE,9.9,5.94,44,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,POLAND,69,0,36,No
Travel Agency,HONG KONG,20,0,36,No
Travel Agency,MALAYSIA,20,0,53,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",22,0,36,No
Travel Agency,MALAYSIA,20,0,53,No
Travel Agency,"KOREA, REPUBLIC OF",42,0,36,No
Travel Agency,PHILIPPINES,56,0,36,No
Travel Agency,MALAYSIA,20,0,43,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,SINGAPORE,20,0,39,No
Travel Agency,THAILAND,20,0,45,No
Travel Agency,VIET NAM,20,0,36,No
Travel Agency,CHINA,69,0,36,No
Travel Agency,CHINA,36,0,36,No
Travel Agency,MALAYSIA,20,0,48,No
Travel Agency,JAPAN,112,0,36,No
Travel Agency,CHINA,27,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",32,0,24,No
Travel Agency,SINGAPORE,67,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",53,0,57,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,JAPAN,44,0,29,No
Travel Agency,HONG KONG,20,0,61,No
Travel Agency,MALAYSIA,20,0,27,No
Travel Agency,MALAYSIA,20,0,27,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,INDIA,50,0,36,No
Travel Agency,JAPAN,89,0,25,No
Travel Agency,MALAYSIA,16,0,36,No
Travel Agency,HONG KONG,29,0,36,No
Travel Agency,UNITED STATES,20,0,47,No
Travel Agency,INDIA,24,0,36,No
Travel Agency,THAILAND,27,0,36,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,MYANMAR,10,0,35,No
Travel Agency,SINGAPORE,18,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",58,0,36,No
Travel Agency,SPAIN,46,0,36,No
Travel Agency,MYANMAR,16,0,21,No
Travel Agency,HONG KONG,12,0,36,No
Travel Agency,THAILAND,29,0,36,No
Travel Agency,UNITED STATES,69,0,59,No
Travel Agency,INDONESIA,15,0,31,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",19,0,36,No
Travel Agency,MALAYSIA,13,0,36,No
Travel Agency,UNITED KINGDOM,74,0,36,No
Travel Agency,THAILAND,40,0,30,No
Travel Agency,THAILAND,10,0,36,No
Travel Agency,UNITED STATES,17,0,28,No
Travel Agency,MALAYSIA,13,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,CZECH REPUBLIC,80,0,36,No
Travel Agency,HONG KONG,80,0,36,No
Travel Agency,THAILAND,34,0,36,No
Travel Agency,AUSTRALIA,80,0,36,No
Travel Agency,MYANMAR,10,0,36,No
Travel Agency,AUSTRALIA,80,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",22,0,30,No
Travel Agency,SINGAPORE,11,0,40,No
Travel Agency,GERMANY,80,0,36,No
Travel Agency,SRI LANKA,10,0,36,No
Travel Agency,CAMBODIA,14,0,36,No
Travel Agency,THAILAND,13,0,36,No
Travel Agency,THAILAND,23,0,33,No
Travel Agency,AUSTRALIA,26,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,MALAYSIA,20,0,24,No
Travel Agency,CHINA,20,0,36,No
Travel Agency,CHINA,46,0,36,No
Travel Agency,SINGAPORE,20,0,29,No
Airlines,INDIA,62,24.8,118,No
Airlines,BRUNEI DARUSSALAM,15,6,39,No
Airlines,SINGAPORE,1.98,0.56,48,No
Airlines,SINGAPORE,3.89,1.09,48,No
Airlines,SINGAPORE,7.21,2.02,48,No
Airlines,HONG KONG,22,7.7,67,No
Airlines,INDONESIA,22,7.7,53,No
Airlines,THAILAND,22,7.7,60,No
Airlines,VIET NAM,18,6.3,57,No
Airlines,CAMBODIA,30,10.5,57,No
Airlines,MALAYSIA,22,7.7,57,No
Airlines,HONG KONG,35,12.25,52,No
Airlines,VIET NAM,22,7.7,40,No
Airlines,INDONESIA,33,11.55,38,No
Airlines,CHINA,22,7.7,46,No
Airlines,AUSTRIA,67,23.45,49,No
Airlines,AUSTRALIA,92,32.2,72,No
Airlines,SINGAPORE,17.55,4.39,31,No
Airlines,SINGAPORE,17.55,4.39,35,No
Airlines,SINGAPORE,17.55,4.39,26,No
Airlines,SINGAPORE,17.55,4.39,33,No
Airlines,SINGAPORE,0,7.47,45,No
Airlines,SINGAPORE,38.35,9.59,34,No
Airlines,SINGAPORE,94,23.5,30,No
Airlines,SINGAPORE,44.85,11.21,27,No
Airlines,SINGAPORE,62.25,15.56,27,No
Airlines,SINGAPORE,81.75,20.44,30,No
Airlines,SINGAPORE,62.25,15.56,29,No
Airlines,SINGAPORE,43.55,10.89,45,Yes
Airlines,SINGAPORE,43.55,10.89,46,No
Airlines,SINGAPORE,109,27.25,27,No
Airlines,SINGAPORE,252.85,63.21,29,No
Airlines,SINGAPORE,260.63,65.16,30,No
Airlines,SINGAPORE,260.63,65.16,47,No
Airlines,SINGAPORE,252.85,63.21,30,No
Travel Agency,UNITED KINGDOM,69.3,41.58,51,No
Travel Agency,ITALY,39.6,23.76,51,No
Travel Agency,SOUTH AFRICA,128.7,77.22,55,No
Travel Agency,MALAYSIA,29.7,17.82,28,No
Travel Agency,NEW ZEALAND,108.9,65.34,35,No
Travel Agency,MALAYSIA,0,29.7,54,No
Travel Agency,UNITED STATES,118.8,71.28,32,No
Travel Agency,UNITED STATES,29.7,17.82,31,No
Travel Agency,NORWAY,0,65.34,31,No
Travel Agency,UNITED KINGDOM,39.6,23.76,31,No
Travel Agency,THAILAND,29.7,17.82,44,No
Travel Agency,AUSTRALIA,138.6,83.16,51,No
Travel Agency,AUSTRALIA,29.7,17.82,29,No
Travel Agency,THAILAND,19.8,11.88,33,No
Travel Agency,SOUTH AFRICA,49.5,29.7,31,No
Travel Agency,UNITED STATES,158.4,95.04,29,No
Travel Agency,JAPAN,29.7,17.82,31,No
Travel Agency,SINGAPORE,20,0,35,No
Travel Agency,UNITED KINGDOM,64,0,36,No
Travel Agency,"TANZANIA, UNITED REPUBLIC OF",112,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,UNITED STATES,112,0,31,No
Travel Agency,UNITED STATES,50,0,25,No
Travel Agency,HONG KONG,23,0,28,No
Travel Agency,SINGAPORE,38,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,JAPAN,31,0,36,No
Travel Agency,AUSTRALIA,74,0,36,No
Travel Agency,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37,0,36,No
Travel Agency,CHINA,52,0,36,No
Travel Agency,ITALY,69,0,36,No
Travel Agency,ITALY,69,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,VIET NAM,26,0,36,No
Travel Agency,PHILIPPINES,30,0,36,No
Travel Agency,INDIA,46,0,36,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,THAILAND,20,0,40,No
Travel Agency,SINGAPORE,56,0,36,No
Travel Agency,MALAYSIA,29,0,36,No
Travel Agency,MALAYSIA,20,0,35,No
Travel Agency,SINGAPORE,0,0,36,No
Travel Agency,MALAYSIA,32,0,36,No
Travel Agency,VIET NAM,23,0,36,No
Travel Agency,VIET NAM,71,0,36,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,CHINA,37,0,36,No
Travel Agency,MALAYSIA,20,0,25,No
Travel Agency,THAILAND,26,0,69,No
Travel Agency,AUSTRALIA,31,0,36,No
Travel Agency,SINGAPORE,30,0,36,No
Travel Agency,MALAYSIA,37,0,31,No
Travel Agency,SRI LANKA,39,0,36,No
Travel Agency,PHILIPPINES,20,0,39,No
Travel Agency,AUSTRALIA,27,0,36,No
Travel Agency,UNITED STATES,24,0,60,No
Travel Agency,THAILAND,16,0,36,Yes
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,SINGAPORE,19,0,36,No
Travel Agency,VIET NAM,37,0,36,No
Travel Agency,SINGAPORE,70,0,26,No
Travel Agency,MALAYSIA,14,0,36,No
Travel Agency,MALAYSIA,10,0,49,No
Travel Agency,"KOREA, REPUBLIC OF",10,0,22,No
Travel Agency,"KOREA, REPUBLIC OF",10,0,23,No
Travel Agency,MYANMAR,13,0,39,No
Travel Agency,UNITED STATES,42,0,55,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,CAMBODIA,17,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",39,0,36,No
Travel Agency,HONG KONG,18,0,36,No
Travel Agency,HONG KONG,29,0,36,No
Travel Agency,HONG KONG,24,0,28,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",43,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,THAILAND,30,0,36,No
Travel Agency,SRI LANKA,10,0,32,No
Travel Agency,UNITED STATES,18,0,38,No
Travel Agency,NEW ZEALAND,59,0,36,No
Travel Agency,SINGAPORE,16,0,45,No
Travel Agency,MYANMAR,19,0,36,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,HONG KONG,21,0,53,No
Travel Agency,INDIA,20,0,36,No
Travel Agency,CHINA,32,0,36,No
Travel Agency,CHINA,24,0,36,No
Travel Agency,CHINA,16,0,36,No
Travel Agency,UNITED STATES,11,0,21,No
Travel Agency,MALAYSIA,22,0,54,No
Travel Agency,INDIA,0,0,36,No
Travel Agency,AUSTRALIA,18,0,36,No
Travel Agency,INDONESIA,10,0,36,No
Travel Agency,INDONESIA,10,0,28,No
Travel Agency,NEPAL,45,0,36,No
Travel Agency,HONG KONG,30,0,20,No
Travel Agency,AUSTRALIA,45,0,36,No
Travel Agency,PHILIPPINES,14,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",21,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,MALAYSIA,10,0,36,No
Travel Agency,CHINA,20,0,36,No
Travel Agency,MYANMAR,20,0,57,No
Travel Agency,MYANMAR,20,0,36,No
Travel Agency,AUSTRALIA,28,0,36,No
Travel Agency,JAPAN,39,0,36,No
Travel Agency,CHINA,27,0,36,No
Travel Agency,SINGAPORE,51,0,36,No
Travel Agency,PHILIPPINES,20,0,36,No
Travel Agency,VIET NAM,20,0,29,No
Travel Agency,MALAYSIA,37,0,36,No
Airlines,INDIA,50,20,118,No
Airlines,BRUNEI DARUSSALAM,31,12.4,78,No
Airlines,BRUNEI DARUSSALAM,15,6,48,No
Airlines,SINGAPORE,1.48,0.41,48,No
Airlines,SINGAPORE,73.67,20.65,48,No
Airlines,SINGAPORE,7.21,2.02,48,No
Airlines,SINGAPORE,5.09,1.43,48,No
Airlines,MYANMAR,18,6.3,29,No
Airlines,HONG KONG,26,9.1,40,No
Airlines,MALAYSIA,18,6.3,33,No
Airlines,MALAYSIA,18,6.3,40,No
Airlines,JAPAN,35,12.25,38,No
Airlines,THAILAND,22,7.7,42,No
Airlines,INDIA,35,12.25,53,No
Airlines,THAILAND,22,7.7,45,No
Airlines,INDIA,50,17.5,53,No
Airlines,THAILAND,18,6.3,49,No
Airlines,"TAIWAN, PROVINCE OF CHINA",26,9.1,47,No
Airlines,SRI LANKA,26,9.1,45,No
Airlines,CHINA,26,9.1,47,No
Airlines,THAILAND,22,7.7,49,No
Airlines,THAILAND,18,6.3,55,No
Airlines,JAPAN,26,9.1,32,No
Airlines,THAILAND,22,7.7,70,No
Airlines,MYANMAR,33,11.55,34,No
Airlines,CHINA,63,22.05,48,No
Airlines,THAILAND,22,7.7,68,No
Airlines,UNITED KINGDOM,125,43.75,31,No
Airlines,UNITED KINGDOM,87,30.45,51,No
Airlines,FRANCE,149,52.15,38,No
Airlines,CHINA,92,32.2,53,No
Airlines,GERMANY,87,30.45,49,No
Airlines,CHINA,45,15.75,50,No
Travel Agency,MALAYSIA,29,9.57,72,No
Travel Agency,MALAYSIA,29,9.57,77,No
Travel Agency,MALAYSIA,29,9.57,118,No
Travel Agency,MALAYSIA,29,9.57,118,No
Travel Agency,MALAYSIA,29,9.57,118,No
Travel Agency,THAILAND,29,9.57,63,No
Airlines,PHILIPPINES,7.44,2.6,48,No
Airlines,THAILAND,9.48,3.32,48,No
Airlines,SINGAPORE,38.35,9.59,71,No
Airlines,SINGAPORE,38.35,9.59,45,No
Airlines,SINGAPORE,22.1,5.53,28,No
Airlines,SINGAPORE,38.35,9.59,26,No
Airlines,SINGAPORE,17.55,4.39,22,No
Airlines,SINGAPORE,17.25,4.31,60,No
Airlines,SINGAPORE,682,170.5,25,No
Airlines,SINGAPORE,17.25,4.31,30,No
Airlines,SINGAPORE,17.55,4.39,25,No
Airlines,SINGAPORE,38.35,9.59,56,No
Airlines,SINGAPORE,71,17.75,42,No
Airlines,SINGAPORE,62.25,15.56,33,Yes
Airlines,SINGAPORE,70.85,17.71,39,No
Airlines,SINGAPORE,25.9,6.47,37,No
Airlines,SINGAPORE,25.9,6.47,42,No
Airlines,SINGAPORE,119,29.75,48,No
Airlines,SINGAPORE,187.85,46.96,32,Yes
Airlines,SINGAPORE,252.85,63.21,42,No
Airlines,SINGAPORE,252.85,63.21,33,No
Airlines,SINGAPORE,389.35,97.34,42,No
Travel Agency,MALAYSIA,39.6,23.76,43,No
Travel Agency,MALAYSIA,9.9,5.94,67,No
Travel Agency,UNITED STATES,19.8,11.88,30,No
Travel Agency,THAILAND,29.7,17.82,52,No
Travel Agency,MALAYSIA,19.8,11.88,31,No
Travel Agency,THAILAND,49.5,29.7,31,No
Travel Agency,MALAYSIA,19.8,11.88,69,No
Travel Agency,UNITED ARAB EMIRATES,19.8,11.88,31,No
Travel Agency,MALAYSIA,0,89.1,45,No
Travel Agency,AUSTRALIA,39.6,23.76,43,No
Travel Agency,AUSTRALIA,0,106.92,31,No
Travel Agency,UNITED KINGDOM,39.6,23.76,32,Yes
Travel Agency,THAILAND,49.5,29.7,41,No
Travel Agency,AUSTRALIA,59.4,35.64,35,No
Travel Agency,THAILAND,31,0,32,No
Travel Agency,PHILIPPINES,34,0,36,No
Travel Agency,PHILIPPINES,20,0,26,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,THAILAND,33,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",25,0,36,No
Travel Agency,INDONESIA,20,0,51,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,PHILIPPINES,34,0,36,No
Travel Agency,PHILIPPINES,34,0,36,No
Travel Agency,CHINA,38,0,36,No
Travel Agency,PHILIPPINES,70,0,36,No
Travel Agency,THAILAND,24,0,36,No
Travel Agency,SPAIN,76,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",56,0,36,No
Travel Agency,SINGAPORE,26,0,36,No
Travel Agency,HONG KONG,21,0,26,No
Travel Agency,MYANMAR,20,0,29,No
Travel Agency,MALAYSIA,20,0,50,No
Travel Agency,UNITED KINGDOM,107,0,36,No
Travel Agency,CHINA,87,0,36,Yes
Travel Agency,INDONESIA,20,0,65,No
Travel Agency,THAILAND,20,0,36,No
Travel Agency,SINGAPORE,30,0,36,No
Travel Agency,CHINA,46,0,36,No
Travel Agency,INDONESIA,26,0,36,No
Travel Agency,CAMBODIA,103,0,36,No
Travel Agency,MALAYSIA,20,0,39,No
Travel Agency,CHINA,0,0,36,No
Travel Agency,CZECH REPUBLIC,21,0,36,No
Travel Agency,CHINA,33,0,36,No
Travel Agency,THAILAND,20,0,38,No
Travel Agency,CHINA,68,0,36,No
Travel Agency,INDONESIA,25,0,36,No
Travel Agency,CHINA,28,0,36,No
Travel Agency,INDONESIA,25,0,36,No
Travel Agency,THAILAND,68,0,36,No
Travel Agency,AUSTRALIA,62,0,36,No
Travel Agency,UNITED STATES,98,0,38,No
Travel Agency,NETHERLANDS,112,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,CHINA,31,0,36,No
Travel Agency,UNITED STATES,10,0,42,No
Travel Agency,HONG KONG,21,0,51,No
Travel Agency,SINGAPORE,13,0,28,No
Travel Agency,THAILAND,27,0,36,No
Travel Agency,INDONESIA,12,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",21,0,36,No
Travel Agency,MACAO,19,0,36,No
Travel Agency,UNITED KINGDOM,80,0,43,No
Travel Agency,MALAYSIA,11,0,45,No
Travel Agency,SINGAPORE,60,0,36,No
Travel Agency,MYANMAR,16,0,36,No
Travel Agency,MALAYSIA,20,0,45,No
Travel Agency,INDIA,22,0,36,No
Travel Agency,VIET NAM,15,0,36,No
Travel Agency,THAILAND,30,0,36,No
Travel Agency,PHILIPPINES,23,0,36,No
Travel Agency,INDIA,45,0,36,No
Travel Agency,INDIA,25,0,36,No
Travel Agency,CROATIA,80,0,36,No
Travel Agency,CHINA,46,0,49,No
Travel Agency,INDIA,35,0,36,No
Travel Agency,FINLAND,80,0,36,No
Travel Agency,MALAYSIA,26,0,28,No
Travel Agency,INDONESIA,32,0,36,No
Travel Agency,THAILAND,15,0,36,No
Travel Agency,SINGAPORE,10,0,36,No
Travel Agency,THAILAND,10,0,36,No
Travel Agency,THAILAND,10,0,24,No
Travel Agency,AUSTRALIA,33,0,36,No
Travel Agency,CANADA,10,0,22,No
Travel Agency,SINGAPORE,14,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",49,0,21,No
Travel Agency,CHINA,31,0,36,No
Travel Agency,HONG KONG,15,0,36,No
Travel Agency,CANADA,80,0,29,No
Travel Agency,SINGAPORE,80,0,36,No
Travel Agency,PHILIPPINES,19,0,29,No
Travel Agency,INDONESIA,27,0,37,No
Travel Agency,JAPAN,43,0,36,No
Travel Agency,VIET NAM,10,0,36,No
Travel Agency,JAPAN,80,0,36,No
Travel Agency,HONG KONG,10,0,36,No
Travel Agency,JAPAN,36,0,36,No
Travel Agency,SINGAPORE,16,0,45,No
Travel Agency,THAILAND,10,0,53,No
Travel Agency,MALAYSIA,19,0,36,No
Travel Agency,PHILIPPINES,13,0,36,No
Travel Agency,MALAYSIA,14,0,36,No
Travel Agency,JAPAN,40,0,36,No
Travel Agency,VIET NAM,10,0,58,No
Travel Agency,SINGAPORE,49,0,36,No
Travel Agency,ITALY,72,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",55,0,36,No
Travel Agency,JAPAN,38,0,36,No
Travel Agency,VIET NAM,0,0,36,No
Travel Agency,MALAYSIA,40,0,35,No
Travel Agency,CHINA,32,0,36,No
Travel Agency,CAMBODIA,41,0,36,No
Travel Agency,SRI LANKA,30,0,36,No
Travel Agency,THAILAND,27,0,36,No
Travel Agency,CANADA,40,0,26,No
Travel Agency,CANADA,62,0,32,No
Travel Agency,HONG KONG,39,0,61,No
Travel Agency,SINGAPORE,16,0,36,No
Travel Agency,INDIA,30,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",17,0,36,No
Travel Agency,SINGAPORE,32,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",23,0,36,No
Travel Agency,"KOREA, REPUBLIC OF",20,0,36,No
Travel Agency,TUNISIA,56,0,36,No
Travel Agency,SINGAPORE,20,0,55,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,HONG KONG,55,0,49,No
Travel Agency,SINGAPORE,20,0,36,No
Travel Agency,RUSSIAN FEDERATION,20,0,36,No
Travel Agency,AUSTRALIA,47,0,36,No
Travel Agency,VIET NAM,20,0,39,No
Travel Agency,UNITED STATES,20,0,45,No
Airlines,INDIA,31,12.4,118,No
Airlines,INDIA,0,28.8,118,No
Airlines,INDIA,62,24.8,118,No
Airlines,INDIA,60,24,118,No
Airlines,INDIA,50,20,118,No
Travel Agency,INDONESIA,28,10.64,48,No
Travel Agency,NETHERLANDS,75,28.5,48,No
Travel Agency,GERMANY,95,36.1,48,No
Airlines,BRUNEI DARUSSALAM,15,6,52,No
Airlines,BRUNEI DARUSSALAM,15,6,38,No
Airlines,BRUNEI DARUSSALAM,15,6,39,No
Airlines,BRUNEI DARUSSALAM,15,6,45,No
Airlines,SINGAPORE,8.49,2.38,48,No
Airlines,INDONESIA,30,10.5,35,No
Airlines,JAPAN,44,15.4,20,No
Airlines,MYANMAR,33,11.55,63,No
Airlines,MYANMAR,30,10.5,60,No
Airlines,MACAO,26,9.1,57,No
Airlines,INDONESIA,18,6.3,25,No
Airlines,THAILAND,22,7.7,35,No
Airlines,CHINA,26,9.1,42,No
Airlines,THAILAND,22,7.7,34,No
Airlines,HONG KONG,26,9.1,68,No
Airlines,PHILIPPINES,18,6.3,34,No
